TRAVEL_ID,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,SLEEP,ACTIVITY,RESULT_MVMN,Cluster
e_e000817,30,2,자녀 동반 여행,1,휴식,자가용,1
e_e008231,20,1,2인 여행(가족 외),0,쇼핑 / 구매,자가용,5
e_e008319,30,3,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e008250,40,0,나홀로 여행,0,휴식,택시,0
e_e007512,20,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,택시,5
e_e003416,20,0,나홀로 여행,0,쇼핑 / 구매,지하철,5
e_e006914,30,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e005418,20,0,나홀로 여행,2,체험 활동 / 입장 및 관람,자가용,8
e_e001134,20,2,부모 동반 여행,0,단순 구경 / 산책 / 걷기,자가용,5
e_e006939,20,0,나홀로 여행,0,없음,기차,5
e_e001529,20,2,부모 동반 여행,1,쇼핑 / 구매,자가용,1
e_e003628,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,5
e_e010838,20,1,2인 여행(가족 외),0,쇼핑 / 구매,자가용,5
e_e002143,30,0,나홀로 여행,1,휴식,자가용,0
e_e011125,20,0,나홀로 여행,0,쇼핑 / 구매,자가용,5
e_e007557,40,2,3인 이상 여행(가족 외),0,쇼핑 / 구매,자가용,6
e_e009575,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,지하철,5
e_e006930,60,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,7
e_e001428,30,1,2인 여행(가족 외),1,쇼핑 / 구매,자가용,0
e_e000966,60,4,부모 동반 여행,0,쇼핑 / 구매,자가용,7
e_e000400,50,3,3인 이상 여행(가족 외),0,없음,자가용,6
e_e001081,30,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e002197,20,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,지하철,5
e_e006905,30,0,나홀로 여행,0,체험 활동 / 입장 및 관람,자가용,0
e_e003336,20,1,2인 여행(가족 외),1,단순 구경 / 산책 / 걷기,버스,8
e_e010064,20,1,2인 여행(가족 외),0,쇼핑 / 구매,기차,5
e_e001452,30,1,2인 여행(가족 외),0,휴식,자가용,0
e_e000387,30,3,자녀 동반 여행,2,휴식,자가용,1
e_e009700,20,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,5
e_e011208,30,2,3인 이상 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,0
e_e004309,60,2,3인 이상 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,7
e_e008079,40,1,자녀 동반 여행,0,단순 구경 / 산책 / 걷기,버스,0
e_e001126,40,1,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e003369,40,1,자녀 동반 여행,1,단순 구경 / 산책 / 걷기,자가용,0
e_e000317,30,0,나홀로 여행,2,단순 구경 / 산책 / 걷기,지하철,9
e_e007879,40,2,자녀 동반 여행,0,없음,자가용,6
e_e006900,20,0,나홀로 여행,0,쇼핑 / 구매,지하철,5
e_e002411,30,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,0
e_e010200,40,2,자녀 동반 여행,0,쇼핑 / 구매,자가용,6
e_e002279,30,1,2인 가족 여행,0,쇼핑 / 구매,자가용,0
e_e003020,20,1,2인 여행(가족 외),1,체험 활동 / 입장 및 관람,자가용,8
e_e009940,20,1,2인 여행(가족 외),0,휴식,자가용,5
